mmsi,name,lat,lon,speed,timestamp
477400444,MT Hong Kong Trader,26.415492619854415,56.46127192689258,13.5,2026-07-22 01:20:00+00:00
209900999,MV Cyprus Wind,26.676493885884494,56.149893337499385,11.2,2026-07-22 01:20:00+00:00
256800888,MT Malta Horizon,26.424418776665622,56.46497832854485,11.4,2026-07-22 01:20:00+00:00
419700777,MV Konkan Express,26.674175675765063,56.153927655530225,12.4,2026-07-22 01:20:00+00:00
537300333,MV Marshall Pride,26.622297879280545,56.20636687783208,11.3,2026-07-22 01:20:00+00:00
372101112,MT Panama Crest,26.50095953249781,56.36129097390668,9.8,2026-07-22 01:20:00+00:00
470600666,MT Emirates Falcon,26.40970631725285,56.47418430394289,12.0,2026-07-22 01:20:00+00:00
636200222,MT Liberty Star,26.448815313832597,56.4338419676208,11.2,2026-07-22 01:20:00+00:00
372100111,MV Gulf Voyager,26.601041268385764,56.231828187645526,12.1,2026-07-22 01:20:00+00:00
636222333,MT Silent Reach,26.302252606966196,56.15546193847294,0.2,2026-07-22 01:40:00+00:00
372100111,MV Gulf Voyager,26.57701423385043,56.271423560771204,12.2,2026-07-22 02:00:00+00:00
563500555,MV Singapore Breeze,26.660098156105608,56.18266099244691,13.3,2026-07-22 02:00:00+00:00
470600666,MT Emirates Falcon,26.44071986774855,56.43711319917186,11.7,2026-07-22 02:00:00+00:00
419700777,MV Konkan Express,26.647707496987454,56.17163938571851,12.4,2026-07-22 02:00:00+00:00
477400444,MT Hong Kong Trader,26.44646554287496,56.431500655369206,13.2,2026-07-22 02:00:00+00:00
209900999,MV Cyprus Wind,26.647894975313765,56.180095535148176,11.1,2026-07-22 02:00:00+00:00
636200222,MT Liberty Star,26.474259849591913,56.39670962532498,11.6,2026-07-22 02:00:00+00:00
372101112,MT Panama Crest,26.529119539967947,56.3367872978841,9.9,2026-07-22 02:00:00+00:00
537300333,MV Marshall Pride,26.602347567480887,56.236744810880126,11.3,2026-07-22 02:00:00+00:00
256800888,MT Malta Horizon,26.447570019447333,56.41321261529171,11.6,2026-07-22 02:00:00+00:00
636222333,MT Silent Reach,26.29528387923304,56.149799140481306,0.8,2026-07-22 02:20:00+00:00
470600666,MT Emirates Falcon,26.460099818869548,56.40525105616218,12.9,2026-07-22 02:40:00+00:00
636200222,MT Liberty Star,26.505456186866322,56.36224417402315,11.8,2026-07-22 02:40:00+00:00
372101112,MT Panama Crest,26.55979870261787,56.29150792069767,10.5,2026-07-22 02:40:00+00:00
256800888,MT Malta Horizon,26.473528679588373,56.38630186330358,11.3,2026-07-22 02:40:00+00:00
209900999,MV Cyprus Wind,26.614528403104053,56.21641222971866,11.1,2026-07-22 02:40:00+00:00
563500555,MV Singapore Breeze,26.60686861237192,56.21692750259225,13.4,2026-07-22 02:40:00+00:00
477400444,MT Hong Kong Trader,26.47833282647219,56.39348779269358,13.6,2026-07-22 02:40:00+00:00
372100111,MV Gulf Voyager,26.547462820884544,56.30179694496898,11.9,2026-07-22 02:40:00+00:00
419700777,MV Konkan Express,26.61227165166961,56.21079618092154,12.0,2026-07-22 02:40:00+00:00
537300333,MV Marshall Pride,26.574023092680388,56.272334341413206,11.4,2026-07-22 02:40:00+00:00
636222333,MT Silent Reach,26.2984451604729,56.15453368529983,0.6,2026-07-22 03:00:00+00:00
372444555,Pacific Trader,26.4204,56.0803,1.3,2026-07-22 03:00:00+00:00
537333444,Nordic Star,26.42,56.08,1.1,2026-07-22 03:00:00+00:00
209900999,MV Cyprus Wind,26.600602034816422,56.257696532922665,11.3,2026-07-22 03:20:00+00:00
477400444,MT Hong Kong Trader,26.496930418982522,56.35765976222049,13.6,2026-07-22 03:20:00+00:00
563500555,MV Singapore Breeze,26.587452057474678,56.247528461285235,13.6,2026-07-22 03:20:00+00:00
537300333,MV Marshall Pride,26.539585511005217,56.30706580487898,11.1,2026-07-22 03:20:00+00:00
372101112,MT Panama Crest,26.578215069995856,56.25647826595149,11.1,2026-07-22 03:20:00+00:00
419700777,MV Konkan Express,26.586817185817566,56.25646975893544,11.9,2026-07-22 03:20:00+00:00
256800888,MT Malta Horizon,26.506369438876405,56.34516041848363,11.1,2026-07-22 03:20:00+00:00
372100111,MV Gulf Voyager,26.51233086116914,56.345485658789926,11.7,2026-07-22 03:20:00+00:00
470600666,MT Emirates Falcon,26.49528946480901,56.36879492494302,12.3,2026-07-22 03:20:00+00:00
636200222,MT Liberty Star,26.529436938324025,56.327571793272725,11.7,2026-07-22 03:20:00+00:00
636222333,MT Silent Reach,26.297903208714263,56.14695884790068,0.3,2026-07-22 03:40:00+00:00
477400444,MT Hong Kong Trader,26.533324089311236,56.32240837540954,14.5,2026-07-22 04:00:00+00:00
372101112,MT Panama Crest,26.614392838759315,56.23181210484033,11.0,2026-07-22 04:00:00+00:00
372100111,MV Gulf Voyager,26.48820096235556,56.37268875956137,12.2,2026-07-22 04:00:00+00:00
537300333,MV Marshall Pride,26.508915942482606,56.34631593651574,11.0,2026-07-22 04:00:00+00:00
209900999,MV Cyprus Wind,26.558320907223294,56.27926770105037,11.6,2026-07-22 04:00:00+00:00
636200222,MT Liberty Star,26.5498132638773,56.289527840197486,11.3,2026-07-22 04:00:00+00:00
470600666,MT Emirates Falcon,26.529019515449676,56.33548502908039,12.1,2026-07-22 04:00:00+00:00
563500555,MV Singapore Breeze,26.56685874492951,56.286374188117755,13.6,2026-07-22 04:00:00+00:00
419700777,MV Konkan Express,26.560640960484044,56.28446939905699,12.3,2026-07-22 04:00:00+00:00
256800888,MT Malta Horizon,26.545486987207813,56.31251194753404,11.2,2026-07-22 04:00:00+00:00
636222333,MT Silent Reach,26.29635031955186,56.14798657916781,0.5,2026-07-22 04:20:00+00:00
256800888,MT Malta Horizon,26.572025319289278,56.298474396286615,11.2,2026-07-22 04:40:00+00:00
419700777,MV Konkan Express,26.537501592147596,56.32458082340868,12.9,2026-07-22 04:40:00+00:00
372101112,MT Panama Crest,26.641674995944022,56.196870219444115,10.7,2026-07-22 04:40:00+00:00
209900999,MV Cyprus Wind,26.535449939397502,56.32223047542725,10.4,2026-07-22 04:40:00+00:00
563500555,MV Singapore Breeze,26.528350575011444,56.312215530557005,13.5,2026-07-22 04:40:00+00:00
470600666,MT Emirates Falcon,26.556020950291444,56.30153189876587,12.8,2026-07-22 04:40:00+00:00
372100111,MV Gulf Voyager,26.46035262676294,56.40895176817257,11.6,2026-07-22 04:40:00+00:00
477400444,MT Hong Kong Trader,26.558963930117095,56.28218162721881,13.9,2026-07-22 04:40:00+00:00
537300333,MV Marshall Pride,26.486957611304188,56.38128480740634,11.4,2026-07-22 04:40:00+00:00
636200222,MT Liberty Star,26.581904653735364,56.254750485023145,12.1,2026-07-22 04:40:00+00:00
636222333,MT Silent Reach,26.29804305952575,56.15346593610832,0.5,2026-07-22 05:00:00+00:00
372100111,MV Gulf Voyager,26.43578682010105,56.447920627605214,11.9,2026-07-22 05:20:00+00:00
372101112,MT Panama Crest,26.67161950343336,56.151667692045606,10.6,2026-07-22 05:20:00+00:00
563500555,MV Singapore Breeze,26.505259931021484,56.36442859484843,13.8,2026-07-22 05:20:00+00:00
419700777,MV Konkan Express,26.50371527462482,56.3534105331653,12.3,2026-07-22 05:20:00+00:00
537300333,MV Marshall Pride,26.462222066255418,56.413388646689256,11.0,2026-07-22 05:20:00+00:00
256800888,MT Malta Horizon,26.58899950686373,56.25065683819511,12.4,2026-07-22 05:20:00+00:00
477400444,MT Hong Kong Trader,26.589260691674323,56.25909505255812,14.2,2026-07-22 05:20:00+00:00
636200222,MT Liberty Star,26.60876988739811,56.22596758805223,10.8,2026-07-22 05:20:00+00:00
470600666,MT Emirates Falcon,26.57940567892725,56.25826577141497,11.7,2026-07-22 05:20:00+00:00
209900999,MV Cyprus Wind,26.51077338567956,56.35710186010136,10.7,2026-07-22 05:20:00+00:00
636222333,MT Silent Reach,26.293126131474207,56.15091310018709,0.6,2026-07-22 05:40:00+00:00
477400444,MT Hong Kong Trader,26.61794506355021,56.22461562913802,13.4,2026-07-22 06:00:00+00:00
372100111,MV Gulf Voyager,26.407279379188328,56.491801645287744,11.6,2026-07-22 06:00:00+00:00
372101112,MT Panama Crest,26.691992443432873,56.12309846648625,10.1,2026-07-22 06:00:00+00:00
537300333,MV Marshall Pride,26.43049654965602,56.44044440194202,10.6,2026-07-22 06:00:00+00:00
209900999,MV Cyprus Wind,26.475778569234517,56.39114834443207,11.2,2026-07-22 06:00:00+00:00
563500555,MV Singapore Breeze,26.482442541330688,56.388092467287834,13.2,2026-07-22 06:00:00+00:00
470600666,MT Emirates Falcon,26.6147441464023,56.23800644517748,12.1,2026-07-22 06:00:00+00:00
256800888,MT Malta Horizon,26.61390646625553,56.212722671210706,12.0,2026-07-22 06:00:00+00:00
419700777,MV Konkan Express,26.477700286977427,56.39277311301593,12.0,2026-07-22 06:00:00+00:00
636200222,MT Liberty Star,26.63942461782665,56.1869399616048,11.7,2026-07-22 06:00:00+00:00
422111222,MV Al-Noor,26.8,56.65,8.0,2026-07-22 09:00:00+00:00
